TitleAuthorRatingReviewMahabharata Bhagavad Gita,Unknown,No rating,No review
Epic of Gilgamesh,Unknown,No rating,No review
The Old Testament,Unknown,No rating,No review
Illiad,Homer,No rating,No review
Odyssey,Homer,No rating,No review
Histories,Herodotus,No rating,No review
Plays,Sophocles,No rating,No review
Plays,Aeschyles,No rating,No review
Hippolytus,Euripides,No rating,No review
Bachants,Euripides,No rating,No review
Electra,Euripides,No rating,No review
The Phornician Women,Euripides,No rating,No review
The Peloponesian War,Thucydides,No rating,No review
Dialogues,Plato,No rating,No review
Poetics,Aristotle,No rating,No review
Physics,Aristotle,No rating,No review
Ethics,Aristotle,No rating,No review
De Anima,Aristotle,No rating,No review
Greek Anthology,Unknown,No rating,No review
On The Nature of Things,Lucretius,No rating,No review
Parallel Lives,Plutarch,No rating,No review
Aeneid,Virgil,No rating,No review
Bucolics,Virgil,No rating,No review
Georgics,Virgil,No rating,No review
Annals,Tacitus,No rating,No review
Metamorphoses,Ovid,No rating,No review
Heroides,Ovid,No rating,No review
Amores,Ovid,No rating,No review
The New Testament,Unknown,No rating,No review
The Twelve Caesars,Suetonius,No rating,No review
Meditations,Marcus Aurelius,No rating,No review
Poems,Catullus,No rating,No review
Poems,Horace,No rating,No review
Discourses,Epictetus,No rating,No review
Plays,Aristophanes,No rating,No review
Historical Miscellany,Aelianus,No rating,No review
On the Nature of Animals,Aelianus,No rating,No review
Argonautica,Apollonius Rhodius,No rating,No review
Fourteen Byzantine Rulers,Michael Psellus,No rating,No review
The Rise and Fall of the Roman Empire,Edward Gibbon,No rating,No review
The Enneads,Plotinus,No rating,No review
Ecclesiastical History,Eusebius,No rating,No review
Consolations of Philosophy,Boethius,No rating,No review
Letters,Pliny the Younger,No rating,No review
Byzantine verse romances,Unknown,No rating,No review
Fragments,Heraclitus,No rating,No review
Confessions,St. Augustine,No rating,No review
Summa Theologica,Thomas Aquinas,No rating,No review
The Little Flowers,St. Francis of Assisi,No rating,No review
The Prince,Niccolò Machiavelli,No rating,No review
Divide Comedy,Dante Aighieri,No rating,No review
Novelle,Franco Sacchetti,No rating,No review
Icelandic sagas,Unknown,No rating,No review
Anthony and Cleopatra,William Shakespeare,No rating,No review
Hamlet,William Shakespeare,No rating,No review
Macbeth,William Shakespeare,No rating,No review
Henry V,William Shakespeare,No rating,No review
Unknown,François Rabelais,No rating,No review
Unknown,Francis Bacon,No rating,No review
Selected Works,Martin Luther,No rating,No review
Institutes of the Christian Religion,John Calvin,No rating,No review
Essays,Michel de Montaigne,No rating,No review
Don Quixote,Miguel de Cervantes,No rating,No review
Discourses,René Descartes,No rating,No review
Song of Roland,Unknown,No rating,No review
Beowulf,Unknown,No rating,No review
Unknown,Benvenuto Cellini,No rating,No review
Education of Henry Adams,Henry Adams,No rating,No review
The Leviathan,Thomas Hobbes,No rating,No review
Thoughts,Blaise Pascal,No rating,No review
Paradise Lost,John Milton,No rating,No review
Unknown,John Donne,No rating,No review
Unknown,Andrew Marvell,No rating,No review
Unknown,George Herbert,No rating,No review
Unknown,Richard Crashaw,No rating,No review
Treatises,Baruch Spinoza,No rating,No review
Charterhouse of Parma,Stendhal,No rating,No review
The Red and the Black,Stendhal,No rating,No review
The Life of Henry Brulard,Stendhal,No rating,No review
Gulliver’s Travels,Jonathan Swift,No rating,No review
Tristram Shandy,Laurence Sterne,No rating,No review
Dangerous Liasons,Choderlos de Laclos,No rating,No review
Persian Letters,Baron de Montesquieu,No rating,No review
Second Treatise on Government,John Locke,No rating,No review
The Wealth of Nations,Adam Smith,No rating,No review
Discourse on Metaphysics,Gottfried Leibniz,No rating,No review
Everything,David Hume,No rating,No review
The Federalist Papers,Unknown,No rating,No review
Critique of Pure Reason,Immanuel Kant,No rating,No review
Fear and Trembling,Søren Kierkegaard,No rating,No review
Either/Or,Søren Kierkegaard,No rating,No review
Philosophical Fragments,Søren Kierkegaard,No rating,No review
Notes From the Underground,Fyodor Dostoevsky,No rating,No review
The Possessed,Fyodor Dostoevsky,No rating,No review
Democracy in America,Alexis de Tocqueville,No rating,No review
Faust,Johann Wolfgang von Goethe,No rating,No review
Italian Journey,Johann Wolfgang von Goethe,No rating,No review
Astolphe-Louis-Léonor,Astolphe-Louis-Léonor Marquis de Custine,No rating,No review
Marquis de Custine,Astolphe-Louis-Léonor Marquis de Custine,No rating,No review
Mimesis,Eric Auerbach,No rating,No review
Conquest of Mexico,William H. Prescott,No rating,No review
Labyrinths of Solitude,Octavio Paz:,No rating,No review
The Logic of Scientific Discovery,Sir Karl Popper,No rating,No review
The Open Society and Its Enemies,Sir Karl Popper,No rating,No review
Crowds and Power,Elias Canetti,No rating,No review
